,user_id,tariff_plan,date_start
571,167930,B,2019-10-07
572,166680,B,2019-08-14
573,167736,B,2019-09-27
574,167849,B,2019-10-02
575,167060,B,2019-08-29
576,167654,B,2019-09-24
577,167724,B,2019-09-26
578,167679,B,2019-09-25
579,167512,B,2019-09-19
580,166428,B,2019-08-02
581,167651,B,2019-09-24
582,167738,B,2019-09-27
583,167716,B,2019-09-26
584,167326,B,2019-09-11
585,167565,B,2019-09-20
586,166500,B,2019-08-06
587,166813,B,2019-08-20
588,167445,B,2019-09-17
589,167487,B,2019-09-18
590,166532,B,2019-08-07
591,168446,B,2019-10-25
592,167264,B,2019-09-10
593,166788,B,2019-08-19
594,167275,B,2019-09-10
595,167521,B,2019-09-19
596,167447,B,2019-09-17
597,167115,B,2019-09-02
598,167357,B,2019-09-12
599,167359,B,2019-09-13
600,167338,B,2019-09-12
601,167315,B,2019-09-11
602,167339,B,2019-09-12
603,167054,B,2019-08-29
604,167228,B,2019-09-06
605,167041,B,2019-08-29
606,167266,B,2019-09-10
607,167225,B,2019-09-06
608,166956,B,2019-08-26
609,167176,B,2019-09-05
610,167156,B,2019-09-04
611,167172,B,2019-09-05
612,167174,B,2019-09-05
613,166829,B,2019-08-21
614,167175,B,2019-09-05
615,167110,B,2019-09-02
616,166598,B,2019-08-09
617,166970,B,2019-08-27
618,167114,B,2019-09-02
619,167078,B,2019-08-30
620,167004,B,2019-08-28
621,167082,B,2019-08-30
622,167002,B,2019-08-28
623,167183,B,2019-09-05
624,167443,B,2019-09-17
625,167847,B,2019-10-02
626,167869,B,2019-10-03
627,167867,B,2019-10-03
628,166962,B,2019-08-27
629,166975,B,2019-08-27
630,166791,B,2019-08-19
631,166638,B,2019-08-13
632,166660,B,2019-08-13
633,166653,B,2019-08-13
634,166899,B,2019-08-23
635,166711,B,2019-08-15
636,166795,B,2019-08-19
637,166524,B,2019-08-07
638,166772,B,2019-08-19
639,166732,B,2019-08-16
640,166675,B,2019-08-14
641,166774,B,2019-08-19
642,166800,B,2019-08-20
643,166697,B,2019-08-15
644,166755,B,2019-08-19
645,166769,B,2019-08-19
646,166971,B,2019-08-27
647,166844,B,2019-08-21
648,167436,B,2019-09-17
649,167475,B,2019-09-18
650,167071,B,2019-08-30
651,167179,B,2019-09-05
652,166734,B,2019-08-16
653,166663,B,2019-08-13
654,166560,B,2019-08-08
655,166658,B,2019-08-13
656,166534,B,2019-08-07
657,166594,B,2019-08-09
658,166485,B,2019-08-06
659,166627,B,2019-08-12
660,166548,B,2019-08-08
661,166536,B,2019-08-07
662,166389,B,2019-08-01
663,166440,B,2019-08-02
664,166380,B,2019-08-01
665,166421,B,2019-08-02
666,166377,B,2019-08-01
667,166783,B,2019-08-19
668,167502,B,2019-09-18
669,168307,B,2019-10-21
670,168449,B,2019-10-25
671,167124,B,2019-09-02
672,167468,B,2019-09-18
673,167256,B,2019-09-09
674,168053,B,2019-10-10
675,168578,B,2019-10-31
676,167219,B,2019-09-06
677,167410,B,2019-09-16
678,166837,B,2019-08-21
679,167942,B,2019-10-07
680,167858,B,2019-10-03
681,167768,B,2019-09-30
682,167750,B,2019-09-27
683,167463,B,2019-09-17
684,167164,B,2019-09-04
685,167543,B,2019-09-19
686,166839,B,2019-08-21
687,166550,B,2019-08-08
688,167638,B,2019-09-24
689,167142,B,2019-09-03
690,167058,B,2019-08-29
691,166426,B,2019-08-02
692,166533,B,2019-08-07
693,166884,B,2019-08-22
694,166464,B,2019-08-05
695,166530,B,2019-08-07
696,168245,B,2019-10-17
697,168071,B,2019-10-11
698,168509,B,2019-10-29
699,167384,B,2019-09-13
700,166569,B,2019-08-09
701,167939,B,2019-10-07
702,168097,B,2019-10-14
703,167296,B,2019-09-11
704,167813,B,2019-10-01
705,168340,B,2019-10-22
706,167981,B,2019-10-08
707,167551,B,2019-09-20
708,168025,B,2019-10-09
709,166958,B,2019-08-26
710,168356,B,2019-10-23
711,167130,B,2019-09-03
712,167530,B,2019-09-19
713,167288,B,2019-09-10
714,167009,B,2019-08-28
715,167141,B,2019-09-03
716,167697,B,2019-09-25
717,167415,B,2019-09-16
718,166941,B,2019-08-26
719,166705,B,2019-08-15
720,166587,B,2019-08-09
721,167452,B,2019-09-17
722,166797,B,2019-08-20
723,167268,B,2019-09-10
724,166522,B,2019-08-07
725,166815,B,2019-08-20
726,166702,B,2019-08-15
727,166554,B,2019-08-08
728,166911,B,2019-08-23
729,167012,B,2019-08-28
730,166867,B,2019-08-22
731,166565,B,2019-08-08
